Nutrient Value of Some Common Foods - 2008 Edition
VEGETABLES AND VEGETABLE PRODUCTS
Food name,Measure,Weight,Energy,Protein,Carbohydrate,Total Sugar,Total Fat,Sodium,Vitamin B12
"Potatoes, scalloped, homemade",125mL,129,111,4,14,tr,5,434,0
"Pumpkin, canned",125mL,129,44,1,10,4,tr,6,0
"Radicchio, chopped",125mL,21,5,tr,1,tr,tr,5,0
"Radishes",3 medium,14,2,tr,tr,tr,tr,5,0
"Rutabaga (yellow turnip), diced, boiled, drained",125mL,90,35,1,8,5,tr,18,0
"Sauerkraut, canned, not drained",125mL,75,14,1,3,1,tr,496,0
"Seaweed, dulse, dried",60mL,4,8,1,1,tr,tr,11,0
"Spinach, boiled, drained",125mL,95,22,3,4,tr,tr,67,0
"Spinach, chopped, raw",250mL,32,7,1,1,tr,tr,25,0
"Squash, acorn, cubed, baked",125mL,108,61,1,16,tr,tr,4,0
"Squash, butternut, cubed, baked",125mL,108,43,1,11,2,tr,4,0
"Squash, spaghetti, baked",125mL,82,22,1,5,2,tr,15,0
"Sweet potato, baked, peeled after cooking",  1/2 ,57,51,1,12,5,tr,21,0
"Sweet potato, boiled without skin",  1/2 ,76,57,1,13,4,tr,20,0
"Swiss chard, chopped, boiled, drained",125mL,92,18,2,4,1,tr,165,0
"Tomatoes, canned, stewed",125mL,135,35,1,8,6,tr,298,0
"Tomatoes, canned, whole",125mL,127,22,1,5,3,tr,162,0
"Tomatoes, raw",1,123,22,1,5,3,tr,6,0
"Tomatoes, sun-dried",1 piece,2,5,tr,1,1,tr,42,0
"Tomatoes, sun-dried, packed in oil, drained",1 piece,3,6,tr,1,tr,tr,8,0
"Turnip (white turnip), cubed, boiled, drained",125mL,82,18,1,4,2,tr,13,0
"Vegetables, Asian mix  (broccoli, carrots, green beans, mini corn, snow peas, sweet red pepper), frozen, boiled, drained",125mL,74,29,1,6,2,tr,15,0
"Vegetables, broccoli and cauliflower, frozen, boiled, drained",125mL,95,22,2,4,1,tr,20,0
"Vegetables, mixed (corn, lima beans, snap beans, peas, carrots), frozen, boiled, drained",125mL,96,63,3,13,3,tr,34,0
"Vegetables, peas and carrots, canned, not drained",125mL,135,51,3,11,tr,tr,350,0
"Zucchini, raw, slices",4,40,6,tr,1,1,tr,4,0
"Zucchini, sliced, boiled, drained",125mL,95,15,1,4,2,tr,3,0
VEGETABLE JUICES AND OTHER PRODUCTS,,,,,,,,,
"Carrot juice",125mL,125,50,1,12,5,tr,36,0
"Coleslaw with dressing, homemade",125mL,63,44,1,8,tr,2,15,0
"Potato salad, homemade",125mL,132,205,4,14,3,15,579,0.2
"Tomato clam cocktail",125mL,128,61,1,14,4,tr,462,0.04
"Tomato juice",125mL,128,22,1,5,5,tr,345,0
"Tomato juice, without added salt",125mL,184,31,1,8,7,tr,18,0
"Tomato sauce for spaghetti, canned",125mL,132,143,2,21,tr,6,652,0
"Tomato sauce, canned",125mL,129,41,2,10,6,tr,678,0
"Vegetable juice cocktail",125mL,128,24,1,6,4,tr,345,0
"Vegetable juice cocktail, low sodium",125mL,128,28,1,6,5,tr,89,0
